Time(ms),Engine RPM(1/min),Vehicle speed(km/h),Throttle(%),Engine load(mg/stk),Intake air temperature(V),Engine coolant temperature(V),Ignition(Deg),Injection(ms),Battery(V),Vanos angle(Deg),Lambda integrator 1(),Lambda integrator 2(),TPS(V),MAF(V),Knock 1(V),Knock 2(V),Additive correction 1(ms),Additive correction 2(ms),Multiplicative correction 1(ms),Multiplicative correction 2(ms),Idle load(),Part load(),Full load(),Vanos advanced()
3246,1589,0,13.7255,69.9223,159.00,43.00,-7.12,1.13,14.07,19.50,0.00,0.00,-,0.98,0.57,0.23,-,-,-,-,-,-,-,-
3567,1548,0,13.7255,73.5678,159.00,43.00,-7.50,1.11,14.17,20.25,0.00,0.00,-,0.98,0.64,0.29,-,-,-,-,-,-,-,-
3886,1514,0,13.7255,73.3771,159.00,43.00,-7.88,1.10,14.17,20.25,0.00,0.00,-,0.94,0.68,0.23,-,-,-,-,-,-,-,-
4206,1486,0,13.7255,74.776,159.00,43.00,-7.50,1.11,13.76,20.25,0.00,0.00,-,1.03,0.70,0.16,-,-,-,-,-,-,-,-
4526,1493,0,13.7255,79.0785,159.00,43.00,-7.12,1.15,14.17,20.25,0.00,0.00,-,1.00,0.57,0.20,-,-,-,-,-,-,-,-
4846,1470,0,13.7255,73.695,159.00,43.00,-7.12,1.13,14.27,20.62,0.00,0.00,-,0.96,0.64,0.27,-,-,-,-,-,-,-,-
5166,1457,0,13.7255,82.936,159.00,43.00,-7.12,1.13,14.07,19.50,0.00,0.00,-,0.98,0.45,0.20,-,-,-,-,-,-,-,-
5518,1502,0,28.2353,224.709,159.00,43.00,6.00,3.11,14.27,19.50,0.00,0.00,-,2.60,0.72,0.20,-,-,-,-,-,-,-,-
5886,1497,0,58.0392,411.967,159.00,43.00,15.75,6.17,14.27,24.75,0.00,0.00,-,2.46,0.55,0.27,-,-,-,-,-,-,-,-
6206,1538,0,88.6275,405.503,159.00,42.00,14.62,5.86,14.27,28.50,0.00,0.00,-,2.48,0.47,0.33,-,-,-,-,-,-,-,-
6525,1561,0,88.6275,395.965,159.00,42.00,16.50,5.87,14.27,32.62,0.00,0.00,-,2.50,0.45,0.20,-,-,-,-,-,-,-,-
6845,1633,0,88.6275,415.083,159.00,43.00,16.88,5.99,13.87,38.25,0.00,0.00,-,2.56,0.61,0.21,-,-,-,-,-,-,-,-
7165,1681,0,88.6275,407.368,160.00,43.00,17.25,5.98,14.27,42.75,0.00,0.00,-,2.65,0.51,0.29,-,-,-,-,-,-,-,-
7485,1693,0,88.6275,423.349,160.00,43.00,16.50,6.25,14.27,45.38,0.00,0.00,-,2.64,0.43,0.23,-,-,-,-,-,-,-,-
7805,1750,0,88.6275,449.249,161.00,42.00,16.12,6.57,14.27,44.62,0.00,0.00,-,2.73,0.41,0.21,-,-,-,-,-,-,-,-
8124,1821,0,88.6275,447.744,162.00,42.00,16.12,6.64,14.27,44.25,0.00,0.00,-,2.73,0.70,0.27,-,-,-,-,-,-,-,-
8445,1863,0,88.6275,433.925,162.00,42.00,17.25,6.49,14.27,45.38,0.00,0.00,-,2.85,0.66,0.21,-,-,-,-,-,-,-,-
8797,1893,0,88.6275,458.596,163.00,43.00,16.12,6.82,14.27,45.38,0.00,0.00,-,2.85,0.61,0.37,-,-,-,-,-,-,-,-
9164,1962,0,88.6275,454.506,164.00,43.00,16.88,6.84,14.27,45.38,0.00,0.00,-,2.89,0.45,0.41,-,-,-,-,-,-,-,-
9516,2013,0,88.6275,452.64,164.00,43.00,17.25,6.82,14.27,45.38,0.00,0.00,-,2.89,0.70,0.35,-,-,-,-,-,-,-,-
9884,2075,0,88.6275,485.323,165.00,42.00,16.50,7.19,14.27,45.00,0.00,0.00,-,2.97,0.49,0.62,-,-,-,-,-,-,-,-
10236,2139,0,88.6275,486.383,166.00,42.00,16.88,7.17,14.27,44.25,0.00,0.00,-,3.05,0.70,0.51,-,-,-,-,-,-,-,-
10604,2210,0,88.6275,495.264,167.00,42.00,17.25,7.19,14.27,45.00,0.00,0.00,-,3.10,0.57,0.41,-,-,-,-,-,-,-,-
10955,2279,0,88.6275,510.736,167.00,42.00,18.38,7.28,14.27,44.25,0.00,0.00,-,3.22,0.41,0.53,-,-,-,-,-,-,-,-
11323,2347,0,88.6275,512.516,167.00,42.00,19.12,7.31,14.17,44.25,0.00,0.00,-,3.20,0.86,0.55,-,-,-,-,-,-,-,-
11675,2404,0,88.6275,528.688,168.00,42.00,19.88,7.42,14.27,44.62,0.00,0.00,-,3.24,1.02,0.25,-,-,-,-,-,-,-,-
12043,2474,0,88.6275,537.866,168.00,42.00,20.25,7.53,14.17,45.38,0.00,0.00,-,3.30,0.88,0.37,-,-,-,-,-,-,-,-
12395,2522,0,88.6275,536.997,169.00,42.00,21.00,7.50,14.07,45.38,0.00,0.00,-,3.36,0.74,0.76,-,-,-,-,-,-,-,-
12763,2596,0,88.6275,554.313,169.00,42.00,21.38,7.56,14.27,45.75,0.00,0.00,-,3.34,0.92,0.53,-,-,-,-,-,-,-,-
13114,2661,0,88.6275,540.261,170.00,42.00,21.75,7.53,14.27,45.75,0.00,0.00,-,3.40,0.70,0.39,-,-,-,-,-,-,-,-
13483,2728,0,88.6275,556.008,170.00,42.00,22.12,7.62,14.27,45.75,0.00,0.00,-,3.46,2.64,0.45,-,-,-,-,-,-,-,-
13834,2792,0,88.6275,549.226,170.00,42.00,22.50,7.63,14.27,45.00,0.00,0.00,-,3.44,1.27,0.55,-,-,-,-,-,-,-,-
14202,2881,0,88.6275,555.902,170.00,42.00,22.88,8.38,14.27,45.38,0.00,0.00,-,3.53,1.46,0.45,-,-,-,-,-,-,-,-
14554,2928,0,88.6275,566.415,170.00,42.00,23.25,8.42,13.87,45.38,0.00,0.00,-,3.55,0.72,0.45,-,-,-,-,-,-,-,-
14922,2991,0,88.6275,560.989,171.00,42.00,23.62,8.44,13.97,45.75,0.00,0.00,-,3.53,1.46,0.76,-,-,-,-,-,-,-,-
15274,3092,0,88.6275,579.492,171.00,42.00,24.00,8.59,13.97,45.75,0.00,0.00,-,3.67,1.15,0.68,-,-,-,-,-,-,-,-
15642,3173,0,88.6275,589.666,171.00,42.00,24.75,8.66,14.07,44.25,0.00,0.00,-,3.71,1.02,0.57,-,-,-,-,-,-,-,-
15993,3213,0,88.6275,617.771,171.00,42.00,24.38,8.84,14.27,45.38,0.00,0.00,-,3.77,0.80,0.64,-,-,-,-,-,-,-,-
16361,3318,0,88.6275,610.352,171.00,42.00,24.75,8.92,14.27,44.25,0.00,0.00,-,3.86,1.42,0.62,-,-,-,-,-,-,-,-
16713,3396,0,88.6275,642.145,172.00,42.00,23.62,9.22,14.27,44.25,0.00,0.00,-,3.92,0.64,0.62,-,-,-,-,-,-,-,-
17081,3481,0,88.6275,654.798,172.00,42.00,22.50,9.45,14.27,45.75,0.00,0.00,-,3.98,0.86,0.66,-,-,-,-,-,-,-,-
17433,3545,0,88.6275,690.787,172.00,42.00,19.88,9.78,14.27,43.88,0.00,0.00,-,4.18,1.09,0.51,-,-,-,-,-,-,-,-
17753,3647,0,88.6275,729.744,172.00,42.00,19.12,9.87,13.97,44.62,0.00,0.00,-,4.24,1.13,0.78,-,-,-,-,-,-,-,-
18120,3732,0,88.6275,758.527,172.00,42.00,19.12,9.95,13.97,45.38,0.00,0.00,-,4.37,1.03,0.88,-,-,-,-,-,-,-,-
18473,3815,0,88.6275,841.42,172.00,42.00,19.12,10.02,13.87,44.62,0.00,0.00,-,4.57,0.62,0.68,-,-,-,-,-,-,-,-
18840,3946,0,88.6275,873.319,172.00,42.00,19.12,10.20,13.87,45.00,0.00,0.00,-,4.74,0.68,0.62,-,-,-,-,-,-,-,-
19192,4065,0,88.6275,923.954,171.00,42.00,19.12,10.63,13.87,45.00,0.00,0.00,-,4.98,1.03,0.70,-,-,-,-,-,-,-,-
19560,4147,0,88.6275,961.638,171.00,42.00,19.50,11.08,13.87,44.25,0.00,0.00,-,4.98,0.41,0.21,-,-,-,-,-,-,-,-
19912,4274,0,88.6275,942.478,171.00,42.00,19.50,11.40,14.27,33.75,0.00,0.00,-,4.98,0.53,0.29,-,-,-,-,-,-,-,-
20280,4398,0,88.6275,915.9,170.00,42.00,18.75,11.67,14.27,21.75,0.00,0.00,-,4.98,0.45,0.45,-,-,-,-,-,-,-,-
20647,4535,0,88.6275,888.24,169.00,42.00,19.12,11.92,14.07,19.50,0.00,0.00,-,4.98,0.29,0.31,-,-,-,-,-,-,-,-
20999,4631,0,88.6275,869.822,169.00,42.00,19.50,12.25,14.27,19.88,0.00,0.00,-,4.98,0.39,0.33,-,-,-,-,-,-,-,-
21367,4727,0,88.6275,852.166,167.00,42.00,19.50,12.60,14.07,19.88,0.00,0.00,-,4.98,0.96,0.35,-,-,-,-,-,-,-,-
21687,4844,0,88.6275,831.586,166.00,42.00,19.88,12.65,14.27,20.25,0.00,0.00,-,4.98,0.66,0.84,-,-,-,-,-,-,-,-
22007,4964,0,88.6275,811.472,166.00,42.00,20.25,12.81,14.07,19.88,0.00,0.00,-,4.98,0.86,0.49,-,-,-,-,-,-,-,-
22327,5041,0,88.6275,799.073,165.00,42.00,20.62,12.46,13.97,19.88,0.00,0.00,-,4.98,0.84,0.82,-,-,-,-,-,-,-,-
22647,5136,0,88.6275,784.3,163.00,42.00,20.62,12.94,14.17,19.50,0.00,0.00,-,4.98,1.21,0.78,-,-,-,-,-,-,-,-
22967,5258,0,88.6275,766.093,163.00,42.00,21.00,13.33,14.17,19.88,0.00,0.00,-,4.98,0.43,0.45,-,-,-,-,-,-,-,-
23287,5311,0,88.6275,758.463,162.00,42.00,21.00,13.29,13.87,19.50,0.00,0.00,-,4.98,0.59,0.84,-,-,-,-,-,-,-,-
23606,5394,0,88.6275,746.785,160.00,42.00,21.00,13.24,13.97,19.88,0.00,0.00,-,4.98,0.74,1.27,-,-,-,-,-,-,-,-
23926,5519,0,88.6275,729.871,160.00,42.00,21.38,13.22,13.97,19.88,0.00,0.00,-,4.98,0.94,1.60,-,-,-,-,-,-,-,-
24246,5584,0,88.6275,721.372,158.00,42.00,21.38,12.91,14.17,18.75,0.00,0.00,-,4.98,0.90,0.76,-,-,-,-,-,-,-,-
24566,5672,0,88.6275,710.181,156.00,42.00,21.38,13.05,14.07,19.12,0.00,0.00,-,4.98,0.62,0.64,-,-,-,-,-,-,-,-
24886,5775,0,88.6275,697.506,156.00,42.00,21.75,13.07,13.97,19.12,0.00,0.00,-,4.98,0.98,0.72,-,-,-,-,-,-,-,-
25206,5839,0,88.6275,689.876,154.00,42.00,22.12,12.90,14.17,19.12,0.00,0.00,-,4.98,1.13,0.57,-,-,-,-,-,-,-,-
25525,5930,0,88.6275,679.279,154.00,42.00,22.50,12.71,14.07,19.50,0.00,0.00,-,4.98,0.51,0.88,-,-,-,-,-,-,-,-
25845,5959,0,88.6275,675.972,152.00,42.00,22.50,12.58,14.17,19.12,0.00,0.00,-,4.98,0.72,0.74,-,-,-,-,-,-,-,-
26165,6095,0,88.6275,660.902,149.00,42.00,22.50,11.98,14.07,18.75,0.00,0.00,-,4.98,1.35,0.43,-,-,-,-,-,-,-,-
26485,6122,0,88.6275,657.978,149.00,42.00,22.12,11.82,14.07,18.75,0.00,0.00,-,4.98,0.43,0.57,-,-,-,-,-,-,-,-
26805,6224,0,88.6275,647.189,147.00,42.00,22.12,11.59,14.17,19.50,0.00,0.00,-,4.98,0.96,0.37,-,-,-,-,-,-,-,-
27125,6298,0,88.6275,639.58,146.00,42.00,22.12,11.26,14.17,19.12,0.00,0.00,-,4.98,0.76,0.61,-,-,-,-,-,-,-,-
27477,6372,0,88.6275,632.162,146.00,42.00,22.12,11.08,13.87,18.75,0.00,0.00,-,4.98,1.05,0.82,-,-,-,-,-,-,-,-
27844,6440,0,88.6275,625.486,144.00,42.00,22.12,10.87,13.87,18.75,0.00,0.00,-,4.98,1.23,1.00,-,-,-,-,-,-,-,-
28196,6557,0,88.6275,614.316,143.00,42.00,22.12,10.79,13.87,19.12,0.00,0.00,-,4.98,0.84,0.98,-,-,-,-,-,-,-,-
28564,6606,0,88.6275,609.759,143.00,42.00,22.12,10.73,13.87,19.50,0.00,0.00,-,4.98,1.02,1.33,-,-,-,-,-,-,-,-
28884,6672,0,88.6275,603.74,141.00,42.00,22.50,10.67,13.97,19.12,0.00,0.00,-,4.98,0.96,0.92,-,-,-,-,-,-,-,-
29236,6737,0,88.6275,597.911,139.00,42.00,22.50,10.62,13.87,18.38,0.00,0.00,-,4.98,0.68,1.05,-,-,-,-,-,-,-,-
29603,6782,0,88.6275,593.947,137.00,42.00,22.50,10.58,13.76,18.75,0.00,0.00,-,4.98,0.76,0.76,-,-,-,-,-,-,-,-
29955,6768,0,88.6275,595.177,137.00,42.00,22.50,7.01,14.17,19.12,0.00,0.00,-,4.98,0.51,0.66,-,-,-,-,-,-,-,-
30324,6807,0,13.7255,161.188,135.00,42.00,35.25,2.39,13.87,18.00,0.00,0.00,-,2.42,0.21,0.23,-,-,-,-,-,-,-,-
30675,6003,0,13.7255,48.1126,134.00,42.00,-23.62,0.86,13.97,19.50,0.00,0.00,-,1.76,0.25,0.12,-,-,-,-,-,-,-,-
31043,5083,0,38.0392,197.834,134.00,42.00,16.12,2.83,13.97,19.50,0.00,0.00,-,4.24,0.39,0.68,-,-,-,-,-,-,-,-
31395,6547,0,13.7255,45.1877,132.00,42.00,2.25,0.59,13.87,18.75,0.00,0.00,-,2.03,0.82,0.70,-,-,-,-,-,-,-,-
31763,5526,0,13.7255,51.0164,128.00,42.00,-20.62,0.87,13.87,18.38,0.00,0.00,-,3.22,0.86,0.39,-,-,-,-,-,-,-,-
32114,6967,0,34.1176,370.425,117.00,42.00,28.88,5.42,13.97,18.38,0.00,0.00,-,2.19,0.70,0.59,-,-,-,-,-,-,-,-
32483,6161,0,13.7255,62.2073,117.00,42.00,-15.75,0.94,14.17,19.12,0.00,0.00,-,1.83,0.47,0.39,-,-,-,-,-,-,-,-
32834,5197,0,13.7255,59.8547,113.00,42.00,-23.62,0.88,13.87,19.88,0.00,0.00,-,2.19,0.64,0.55,-,-,-,-,-,-,-,-
33202,6152,0,41.1765,399.865,111.00,42.00,28.50,6.01,14.17,19.50,0.00,0.00,-,2.52,0.45,0.21,-,-,-,-,-,-,-,-
33554,5961,0,13.7255,64.0725,111.00,42.00,-23.62,0.81,14.07,19.50,0.00,0.00,-,1.85,0.49,0.29,-,-,-,-,-,-,-,-
33922,5043,0,31.3725,81.2404,114.00,41.00,6.38,1.18,13.87,20.25,0.00,0.00,-,3.92,0.64,0.29,-,-,-,-,-,-,-,-
34273,6514,0,13.7255,96.3737,118.00,41.00,30.00,1.49,14.17,19.50,0.00,0.00,-,1.93,0.57,1.02,-,-,-,-,-,-,-,-
34642,5695,0,13.7255,50.4865,121.00,41.00,-23.62,0.74,14.07,18.75,0.00,0.00,-,1.82,0.49,1.19,-,-,-,-,-,-,-,-
34993,4848,0,30.9804,92.8129,121.00,41.00,12.75,1.43,14.27,18.75,0.00,0.00,-,3.36,1.03,0.84,-,-,-,-,-,-,-,-
35361,5915,0,17.2549,110.362,123.00,41.00,36.00,2.16,14.17,19.88,0.00,0.00,-,1.58,1.07,0.49,-,-,-,-,-,-,-,-
