Time(ms),Engine RPM(1/min),Vehicle speed(km/h),Throttle(%),Engine load(mg/stk),Intake air temperature(V),Engine coolant temperature(V),Ignition(Deg),Injection(ms),Battery(V),Vanos angle(Deg),Lambda integrator 1(),Lambda integrator 2(),TPS(V),MAF(V),Knock 1(V),Knock 2(V),Additive correction 1(ms),Additive correction 2(ms),Multiplicative correction 1(ms),Multiplicative correction 2(ms),Idle load(),Part load(),Full load(),Vanos advanced()
0,1728,0,20.3922,135.033,159.00,43.00,16.88,2.10,14.27,44.25,0.00,0.00,-,1.56,0.21,0.16,-,-,-,-,-,-,-,-
368,1738,0,14.5098,102.287,159.00,43.00,16.88,1.89,14.27,45.38,0.00,0.00,-,1.33,0.61,0.14,-,-,-,-,-,-,-,-
688,1747,0,13.7255,85.0555,159.00,43.00,9.38,1.52,14.27,40.88,0.00,0.00,-,1.17,0.35,0.12,-,-,-,-,-,-,-,-
1008,1727,0,13.7255,80.4138,159.00,43.00,1.50,1.31,14.27,34.50,0.00,0.00,-,1.13,0.51,0.14,-,-,-,-,-,-,-,-
1327,1705,0,13.7255,83.911,159.00,43.00,-5.25,1.31,14.27,29.25,0.00,0.00,-,1.07,0.35,0.10,-,-,-,-,-,-,-,-
1647,1696,0,13.7255,79.4389,159.00,43.00,-6.38,1.26,14.27,22.88,0.00,0.00,-,1.00,0.25,0.12,-,-,-,-,-,-,-,-
1967,1678,0,13.7255,74.5004,159.00,43.00,-7.12,1.17,14.27,20.25,0.00,0.00,-,0.96,0.47,0.14,-,-,-,-,-,-,-,-
2287,1666,0,13.7255,78.3579,159.00,43.00,-7.12,1.14,14.27,19.50,0.00,0.00,-,1.00,0.41,0.21,-,-,-,-,-,-,-,-
2607,1645,0,13.7255,63.3095,159.00,43.00,-7.50,1.10,14.07,20.62,0.00,0.00,-,0.92,0.41,0.12,-,-,-,-,-,-,-,-
2927,1625,0,13.7255,73.5043,159.00,43.00,-6.75,1.14,13.87,19.50,0.00,0.00,-,1.03,0.31,0.14,-,-,-,-,-,-,-,-
