Time(ms),Engine RPM(1/min),Vehicle speed(km/h),Throttle(%),Engine load(mg/stk),Intake air temperature(V),Engine coolant temperature(V),Ignition(Deg),Injection(ms),Battery(V),Vanos angle(Deg),Lambda integrator 1(),Lambda integrator 2(),TPS(V),MAF(V),Knock 1(V),Knock 2(V),Additive correction 1(ms),Additive correction 2(ms),Multiplicative correction 1(ms),Multiplicative correction 2(ms),Idle load(),Part load(),Full load(),Vanos advanced()
0,841,0,13.7255,66.0648,153.00,41.00,14.62,1.11,14.07,19.88,0.00,0.00,-,0.53,0.06,0.00,-,-,-,-,Active,Not active,Not active,Not active
432,887,0,13.7255,56.3575,153.00,42.00,11.25,1.11,14.17,20.25,0.00,0.00,-,0.51,0.08,0.00,-,-,-,-,Active,Not active,Not active,Not active
880,880,0,13.7255,58.3922,153.00,42.00,12.00,1.11,14.07,20.62,0.00,0.00,-,0.53,0.12,0.00,-,-,-,-,Active,Not active,Not active,Not active
1279,893,0,13.7255,57.5444,153.00,42.00,10.88,1.11,14.17,19.88,0.00,0.00,-,0.51,0.14,0.00,-,-,-,-,Active,Not active,Not active,Not active
1679,898,0,13.7255,61.8682,153.00,42.00,10.50,1.11,14.17,19.50,0.00,0.00,-,0.55,0.10,0.02,-,-,-,-,Active,Not active,Not active,Not active
2079,898,0,13.7255,63.4154,153.00,42.00,10.50,1.11,14.17,19.88,0.00,0.00,-,0.53,0.10,0.02,-,-,-,-,Active,Not active,Not active,Not active
2479,900,0,16.0784,83.3387,153.00,42.00,9.75,1.25,14.17,19.88,0.00,0.00,-,0.76,0.14,0.02,-,-,-,-,Not active,Active,Not active,Not active
2879,1092,0,20.3922,111.931,153.00,42.00,13.88,1.16,13.87,19.88,0.00,0.00,-,1.09,0.14,0.10,-,-,-,-,Not active,Active,Not active,Not active
3278,1134,0,20.3922,107.777,153.00,42.00,14.62,1.15,14.17,19.88,0.00,0.00,-,1.09,0.18,0.06,-,-,-,-,Not active,Active,Not active,Not active
3678,1075,0,20.7843,118.862,153.00,42.00,13.88,1.14,13.97,20.25,0.00,0.00,-,1.11,0.14,0.02,-,-,-,-,Not active,Active,Not active,Not active
4110,818,0,20.7843,156.207,153.00,42.00,12.00,1.14,14.17,19.88,0.00,0.00,-,1.11,0.04,0.00,-,-,-,-,Not active,Active,Not active,Not active
4557,861,0,21.9608,148.407,153.00,43.00,12.38,2.71,14.17,20.25,0.00,0.00,-,1.21,0.23,0.10,-,-,-,-,Not active,Active,Not active,Not active
