Time(ms),Engine RPM(1/min),Vehicle speed(km/h),Throttle(%),Engine load(mg/stk),Intake air temperature(V),Engine coolant temperature(V),Ignition(Deg),Injection(ms),Battery(V),Vanos angle(Deg),Lambda integrator 1(),Lambda integrator 2(),TPS(V),MAF(V),Knock 1(V),Knock 2(V),Additive correction 1(ms),Additive correction 2(ms),Multiplicative correction 1(ms),Multiplicative correction 2(ms),Idle load(),Part load(),Full load(),Vanos advanced()
5789,1583,0,19.2157,128.103,138.00,38.00,25.50,1.79,14.27,19.50,0.00,0.00,-,1.39,0.47,0.18,-,-,-,-,-,-,-,-
6157,1599,0,19.2157,128.548,138.00,38.00,25.50,1.84,14.27,20.25,0.00,0.00,-,1.42,0.68,0.10,-,-,-,-,-,-,-,-
6509,1602,0,13.7255,85.8186,138.00,38.00,22.50,1.50,14.27,20.62,0.00,0.00,-,1.19,0.80,0.27,-,-,-,-,-,-,-,-
6877,1615,0,13.7255,80.8377,137.00,38.00,15.38,1.39,14.27,19.50,0.00,0.00,-,1.09,0.29,0.20,-,-,-,-,-,-,-,-
7229,1595,0,13.7255,81.8551,138.00,38.00,7.50,1.27,14.17,19.50,0.00,0.00,-,1.02,0.39,0.20,-,-,-,-,-,-,-,-
7597,1592,0,13.7255,75.8993,138.00,38.00,1.12,1.18,14.27,20.25,0.00,0.00,-,1.02,0.45,0.23,-,-,-,-,-,-,-,-
7948,1583,0,21.1765,123.715,138.00,38.00,6.38,1.67,14.27,20.62,0.00,0.00,-,1.87,0.53,0.14,-,-,-,-,-,-,-,-
8316,1633,0,29.4118,267.078,138.00,38.00,21.38,4.06,14.07,23.25,0.00,0.00,-,2.11,0.27,0.14,-,-,-,-,-,-,-,-
8668,1662,0,26.2745,225.642,138.00,38.00,23.25,3.70,14.27,27.00,0.00,0.00,-,1.19,0.74,0.16,-,-,-,-,-,-,-,-
9036,2013,0,13.7255,78.6546,138.00,38.00,21.75,1.61,14.17,29.62,0.00,0.00,-,1.41,0.62,0.51,-,-,-,-,-,-,-,-
9388,2310,0,13.7255,78.7606,138.00,38.00,12.00,1.28,14.27,21.00,0.00,0.00,-,1.15,0.66,0.14,-,-,-,-,-,-,-,-
9755,1600,0,13.7255,55.5521,139.00,38.00,0.38,0.92,14.07,20.25,0.00,0.00,-,0.61,0.49,0.14,-,-,-,-,-,-,-,-
10107,1118,0,13.7255,67.0822,139.00,38.00,-10.88,0.84,14.27,19.50,0.00,0.00,-,0.70,0.64,0.16,-,-,-,-,-,-,-,-
10475,1196,0,13.7255,75.4754,140.00,38.00,-21.00,0.94,14.27,20.62,0.00,0.00,-,0.84,0.68,0.27,-,-,-,-,-,-,-,-
10827,1143,0,13.7255,70.4734,139.00,38.00,-13.50,0.94,14.27,19.50,0.00,0.00,-,0.82,0.41,0.00,-,-,-,-,-,-,-,-
11195,1162,0,13.7255,77.6797,139.00,38.00,-15.00,0.96,14.27,20.25,0.00,0.00,-,0.82,0.68,0.00,-,-,-,-,-,-,-,-
11547,1119,0,13.7255,78.1884,139.00,38.00,-10.12,0.92,14.27,19.50,0.00,0.00,-,0.76,0.49,0.00,-,-,-,-,-,-,-,-
11915,1126,0,13.7255,75.2422,139.00,38.00,-12.38,0.91,14.27,20.25,0.00,0.00,-,0.78,0.55,0.00,-,-,-,-,-,-,-,-
12266,1108,0,13.7255,75.1999,139.00,38.00,-8.25,0.92,13.87,20.62,0.00,0.00,-,0.70,0.23,0.00,-,-,-,-,-,-,-,-
12634,1087,0,13.7255,70.2614,139.00,38.00,-4.50,0.89,14.27,19.50,0.00,0.00,-,0.68,0.31,0.00,-,-,-,-,-,-,-,-
12986,1082,0,13.7255,61.6139,139.00,38.00,-3.00,0.86,14.27,19.50,0.00,0.00,-,0.64,0.41,0.00,-,-,-,-,-,-,-,-
13353,1070,0,13.7255,58.4134,139.00,39.00,-1.12,0.84,14.27,20.62,0.00,0.00,-,0.62,0.18,0.00,-,-,-,-,-,-,-,-
13706,1043,0,13.7255,54.5983,139.00,39.00,4.88,0.82,14.27,20.25,0.00,0.00,-,0.66,0.21,0.00,-,-,-,-,-,-,-,-
14073,1050,0,16.4706,66.1284,139.00,39.00,3.00,0.88,14.27,19.50,0.00,0.00,-,1.56,0.14,0.00,-,-,-,-,-,-,-,-
14425,1063,0,73.7255,433.819,139.00,39.00,3.38,7.13,14.27,20.62,0.00,0.00,-,2.11,0.20,0.00,-,-,-,-,-,-,-,-
14793,1095,0,88.6275,370.404,139.00,39.00,9.38,5.79,14.27,23.25,0.00,0.00,-,2.09,0.27,0.00,-,-,-,-,-,-,-,-
15145,1126,0,89.0196,382.4,139.00,39.00,9.38,5.85,14.27,27.38,0.00,0.00,-,2.13,0.59,0.00,-,-,-,-,-,-,-,-
15513,1195,0,88.6275,397.512,140.00,39.00,9.75,5.98,14.27,30.38,0.00,0.00,-,2.23,0.25,0.10,-,-,-,-,-,-,-,-
15880,1252,0,88.6275,397.173,140.00,39.00,10.50,5.84,14.27,34.12,0.00,0.00,-,2.28,0.21,0.00,-,-,-,-,-,-,-,-
16232,1283,0,88.6275,395.16,141.00,39.00,10.50,6.03,14.27,38.62,0.00,0.00,-,2.32,0.31,0.00,-,-,-,-,-,-,-,-
16600,1327,0,88.6275,395.668,141.00,39.00,10.88,6.02,14.27,42.75,0.00,0.00,-,2.36,0.41,0.00,-,-,-,-,-,-,-,-
16920,1372,0,88.6275,406.986,142.00,39.00,11.25,6.03,14.27,45.38,0.00,0.00,-,2.42,0.62,0.00,-,-,-,-,-,-,-,-
17240,1425,0,89.0196,405.482,143.00,39.00,12.00,5.99,14.17,45.38,0.00,0.00,-,2.44,0.57,0.00,-,-,-,-,-,-,-,-
17560,1491,0,88.6275,406.181,143.00,39.00,13.12,5.97,14.27,44.25,0.00,0.00,-,2.46,0.35,0.00,-,-,-,-,-,-,-,-
17880,1528,0,89.0196,399.059,143.00,39.00,13.50,5.89,13.76,44.62,0.00,0.00,-,2.52,0.33,0.00,-,-,-,-,-,-,-,-
18199,1548,0,88.6275,419.937,144.00,39.00,13.88,6.05,14.27,45.38,0.00,0.00,-,2.56,0.20,0.00,-,-,-,-,-,-,-,-
18519,1609,0,88.6275,423.01,144.00,39.00,14.62,6.08,14.27,45.38,0.00,0.00,-,2.60,0.45,0.00,-,-,-,-,-,-,-,-
18839,1652,0,88.6275,428.817,144.00,39.00,14.62,6.22,14.27,44.25,0.00,0.00,-,2.64,0.47,0.00,-,-,-,-,-,-,-,-
19159,1709,0,88.6275,436.447,145.00,39.00,14.62,6.21,14.27,45.75,0.00,0.00,-,2.71,0.59,0.02,-,-,-,-,-,-,-,-
19478,1756,0,88.6275,437.422,145.00,39.00,15.38,6.30,14.17,44.25,0.00,0.00,-,2.75,0.57,0.00,-,-,-,-,-,-,-,-
19799,1808,0,88.6275,447.13,146.00,39.00,15.38,6.37,14.27,44.62,0.00,0.00,-,2.77,0.57,0.00,-,-,-,-,-,-,-,-
20118,1860,0,88.6275,458.511,146.00,39.00,15.00,6.57,13.87,45.38,0.00,0.00,-,2.83,0.64,0.00,-,-,-,-,-,-,-,-
20438,1893,0,88.6275,449.8,147.00,39.00,14.62,6.66,13.97,45.75,0.00,0.00,-,2.91,0.59,0.00,-,-,-,-,-,-,-,-
20758,1965,0,89.0196,459.465,148.00,39.00,15.38,6.65,14.07,44.25,0.00,0.00,-,2.89,0.62,0.00,-,-,-,-,-,-,-,-
21078,2019,0,89.0196,477.439,148.00,39.00,15.38,6.81,14.07,44.25,0.00,0.00,-,2.97,0.59,0.02,-,-,-,-,-,-,-,-
21429,2078,0,88.6275,463.895,149.00,39.00,16.50,6.71,14.27,45.38,0.00,0.00,-,2.97,1.09,0.02,-,-,-,-,-,-,-,-
21797,2132,0,88.6275,467.138,151.00,39.00,16.50,6.76,14.27,44.25,0.00,0.00,-,3.03,0.70,0.20,-,-,-,-,-,-,-,-
22117,2180,0,88.6275,489.965,151.00,39.00,16.50,6.99,14.17,45.38,0.00,0.00,-,3.05,0.76,0.00,-,-,-,-,-,-,-,-
22437,2244,0,89.0196,506.327,152.00,39.00,17.25,7.06,14.27,44.25,0.00,0.00,-,3.16,0.62,0.00,-,-,-,-,-,-,-,-
22757,2288,0,88.6275,522.096,153.00,39.00,17.62,7.25,14.17,45.38,0.00,0.00,-,3.16,0.98,0.02,-,-,-,-,-,-,-,-
23077,2364,0,88.6275,524.11,153.00,39.00,18.38,7.34,14.17,45.38,0.00,0.00,-,3.24,0.66,0.25,-,-,-,-,-,-,-,-
23396,2420,0,88.6275,540.112,154.00,39.00,19.12,7.39,14.27,44.25,0.00,0.00,-,3.30,0.76,0.57,-,-,-,-,-,-,-,-
23749,2471,0,88.6275,520.528,155.00,39.00,19.50,7.32,14.27,46.12,0.00,0.00,-,3.32,0.94,0.45,-,-,-,-,-,-,-,-
24117,2543,0,88.6275,532.546,155.00,39.00,20.25,7.39,14.07,45.00,0.00,0.00,-,3.34,1.05,0.33,-,-,-,-,-,-,-,-
24468,2615,0,89.0196,536.488,156.00,39.00,21.00,7.33,14.27,45.75,0.00,0.00,-,3.40,1.21,0.57,-,-,-,-,-,-,-,-
24836,2684,0,89.0196,556.326,157.00,39.00,21.38,7.45,13.97,46.12,0.00,0.00,-,3.42,1.42,0.45,-,-,-,-,-,-,-,-
25188,2760,0,89.0196,566.182,158.00,39.00,22.12,7.46,13.87,45.00,0.00,0.00,-,3.49,1.27,0.47,-,-,-,-,-,-,-,-
25556,2847,0,88.6275,558.149,158.00,39.00,22.50,8.12,14.27,44.62,0.00,0.00,-,3.55,1.15,0.37,-,-,-,-,-,-,-,-
25908,2914,0,89.0196,580.107,159.00,39.00,22.12,8.21,13.87,45.00,0.00,0.00,-,3.59,0.82,0.00,-,-,-,-,-,-,-,-
26275,2970,0,88.6275,585.067,159.00,40.00,22.50,8.32,13.97,45.75,0.00,0.00,-,3.61,1.35,0.00,-,-,-,-,-,-,-,-
26627,3046,0,89.0196,590.069,159.00,40.00,23.62,8.36,14.27,45.75,0.00,0.00,-,3.65,0.94,0.00,-,-,-,-,-,-,-,-
26995,3120,0,89.0196,591.658,160.00,40.00,24.00,8.46,13.97,44.62,0.00,0.00,-,3.75,1.33,0.00,-,-,-,-,-,-,-,-
27347,3174,0,88.6275,620.992,160.00,40.00,24.00,8.66,14.27,45.75,0.00,0.00,-,3.75,0.59,0.45,-,-,-,-,-,-,-,-
27715,3266,0,89.0196,661.75,160.00,40.00,23.25,9.17,14.17,43.88,0.00,0.00,-,3.90,0.84,0.59,-,-,-,-,-,-,-,-
28067,3326,0,88.6275,660.669,160.00,40.00,22.88,9.45,13.97,44.25,0.00,0.00,-,3.94,0.76,0.47,-,-,-,-,-,-,-,-
28434,3399,0,88.6275,704.522,160.00,40.00,21.38,9.91,14.27,44.25,0.00,0.00,-,4.06,0.88,0.66,-,-,-,-,-,-,-,-
28786,3463,0,88.6275,746.848,161.00,40.00,21.38,9.94,14.27,45.38,0.00,0.00,-,4.22,0.84,0.70,-,-,-,-,-,-,-,-
29154,3558,0,88.6275,784.681,161.00,40.00,21.38,10.83,13.87,44.25,0.00,0.00,-,4.29,0.74,0.70,-,-,-,-,-,-,-,-
29506,3672,0,88.6275,818.954,161.00,40.00,21.00,11.00,13.97,43.88,0.00,0.00,-,4.39,0.94,0.80,-,-,-,-,-,-,-,-
29874,3747,0,88.6275,860.39,161.00,40.00,21.38,11.08,13.97,44.25,0.00,0.00,-,4.67,1.00,2.01,-,-,-,-,-,-,-,-
30226,3881,0,88.6275,908.354,161.00,40.00,21.38,11.58,13.97,44.62,0.00,0.00,-,4.78,0.78,0.66,-,-,-,-,-,-,-,-
30593,4011,0,89.0196,972.766,161.00,40.00,21.38,12.12,14.27,44.25,0.00,0.00,-,4.94,0.78,0.27,-,-,-,-,-,-,-,-
30945,4104,0,88.6275,981.519,161.00,40.00,21.75,12.17,14.27,45.00,0.00,0.00,-,4.98,0.45,0.45,-,-,-,-,-,-,-,-
31265,4231,0,88.6275,952.058,160.00,40.00,21.75,12.39,13.87,44.25,0.00,0.00,-,4.98,1.50,0.41,-,-,-,-,-,-,-,-
31633,4338,0,88.6275,928.574,160.00,40.00,22.12,12.45,14.27,34.88,0.00,0.00,-,4.98,0.27,0.35,-,-,-,-,-,-,-,-
31985,4485,0,89.0196,898.138,159.00,40.00,21.38,12.39,13.87,23.62,0.00,0.00,-,4.98,0.55,0.33,-,-,-,-,-,-,-,-
32352,4596,0,88.6275,876.456,157.00,40.00,21.38,12.74,13.87,20.25,0.00,0.00,-,4.98,0.25,0.92,-,-,-,-,-,-,-,-
32720,4716,0,88.6275,854.137,155.00,40.00,21.38,12.87,13.97,20.25,0.00,0.00,-,4.98,0.39,0.74,-,-,-,-,-,-,-,-
33071,4857,0,88.6275,829.339,155.00,40.00,21.75,13.09,13.76,20.25,0.00,0.00,-,4.98,0.31,2.24,-,-,-,-,-,-,-,-
33424,4989,0,89.0196,807.402,154.00,40.00,22.12,13.16,13.97,19.88,0.00,0.00,-,4.98,4.02,1.60,-,-,-,-,-,-,-,-
33760,5102,0,88.6275,789.514,151.00,40.00,22.50,13.06,14.27,19.50,0.00,0.00,-,4.98,1.52,0.23,-,-,-,-,-,-,-,-
34111,5187,0,88.6275,776.585,151.00,40.00,22.50,12.81,13.87,19.50,0.00,0.00,-,4.98,1.23,0.49,-,-,-,-,-,-,-,-
34479,5295,0,88.6275,760.752,149.00,40.00,22.12,12.63,13.97,20.25,0.00,0.00,-,4.98,1.44,2.91,-,-,-,-,-,-,-,-
34798,5454,0,89.0196,738.561,147.00,40.00,22.12,12.41,13.97,19.88,0.00,0.00,-,4.98,0.86,1.31,-,-,-,-,-,-,-,-
35119,5516,0,89.0196,730.274,147.00,40.00,22.50,11.82,14.17,19.12,0.00,0.00,-,4.98,0.59,3.49,-,-,-,-,-,-,-,-
35439,5609,0,89.0196,718.15,144.00,40.00,22.50,12.27,13.97,19.50,0.00,0.00,-,4.98,0.59,0.49,-,-,-,-,-,-,-,-
35759,5700,0,88.6275,706.684,142.00,40.00,22.88,12.30,14.17,18.75,0.00,0.00,-,4.98,0.25,0.96,-,-,-,-,-,-,-,-
36079,5782,0,89.0196,696.68,142.00,40.00,23.25,12.34,14.17,18.75,0.00,0.00,-,4.98,1.15,0.49,-,-,-,-,-,-,-,-
36398,5884,0,88.6275,684.598,140.00,40.00,23.25,12.14,13.76,19.12,0.00,0.00,-,4.98,1.23,0.55,-,-,-,-,-,-,-,-
36718,5988,0,88.6275,672.708,137.00,40.00,24.00,12.05,13.76,19.12,0.00,0.00,-,4.98,0.37,0.23,-,-,-,-,-,-,-,-
37038,6077,0,89.0196,662.852,137.00,40.00,24.00,11.89,14.17,18.75,0.00,0.00,-,4.98,1.29,0.20,-,-,-,-,-,-,-,-
37358,6169,0,89.0196,652.954,135.00,40.00,23.62,11.86,13.87,19.12,0.00,0.00,-,4.98,0.37,0.51,-,-,-,-,-,-,-,-
37678,6195,0,89.0196,650.22,132.00,40.00,24.00,11.74,13.76,18.75,0.00,0.00,-,4.98,0.76,0.59,-,-,-,-,-,-,-,-
37998,6286,0,88.6275,640.81,132.00,40.00,24.00,11.56,14.17,19.12,0.00,0.00,-,4.98,0.64,0.31,-,-,-,-,-,-,-,-
38317,6364,0,88.6275,632.946,130.00,40.00,24.00,11.51,13.76,19.12,0.00,0.00,-,4.98,0.61,0.53,-,-,-,-,-,-,-,-
38669,6483,0,88.6275,621.331,128.00,40.00,23.62,11.46,13.76,18.75,0.00,0.00,-,4.98,0.66,0.62,-,-,-,-,-,-,-,-
39037,6531,0,89.0196,616.774,128.00,40.00,23.25,11.35,13.87,18.75,0.00,0.00,-,4.98,0.98,0.80,-,-,-,-,-,-,-,-
39357,6586,0,88.6275,611.624,126.00,40.00,23.25,11.29,13.87,18.75,0.00,0.00,-,4.98,1.23,0.66,-,-,-,-,-,-,-,-
39677,6660,0,89.0196,604.821,124.00,40.00,23.25,11.23,14.07,19.12,0.00,0.00,-,4.98,0.92,0.82,-,-,-,-,-,-,-,-
39997,6726,0,89.0196,598.886,124.00,40.00,23.25,11.12,13.87,18.38,0.00,0.00,-,4.98,0.90,0.78,-,-,-,-,-,-,-,-
40316,6776,0,88.6275,594.477,123.00,40.00,23.25,11.07,13.97,18.38,0.00,0.00,-,4.98,0.92,0.61,-,-,-,-,-,-,-,-
40636,6930,0,88.6275,581.252,120.00,40.00,23.25,6.77,13.97,18.38,0.00,0.00,-,4.98,0.68,0.68,-,-,-,-,-,-,-,-
40956,6634,0,13.7255,90.651,120.00,40.00,10.12,1.41,14.07,18.38,0.00,0.00,-,2.28,0.39,0.14,-,-,-,-,-,-,-,-
41308,6056,0,17.6471,65.5773,119.00,39.00,-6.00,1.04,14.07,19.88,0.00,0.00,-,4.43,0.80,0.86,-,-,-,-,-,-,-,-
41675,6846,0,13.7255,59.8547,114.00,39.00,15.00,1.14,13.97,18.38,0.00,0.00,-,2.26,0.35,0.18,-,-,-,-,-,-,-,-
42028,5851,0,13.7255,47.7099,114.00,39.00,-23.62,0.76,13.97,19.12,0.00,0.00,-,1.85,0.39,0.51,-,-,-,-,-,-,-,-
42395,4931,0,13.7255,44.785,105.00,39.00,-23.62,0.70,14.07,19.88,0.00,0.00,-,1.66,0.43,0.14,-,-,-,-,-,-,-,-
42747,4404,0,47.0588,374.367,87.00,39.00,15.75,4.92,14.27,19.50,0.00,0.00,-,4.12,1.19,0.57,-,-,-,-,-,-,-,-
43115,6429,0,14.1176,62.8644,87.00,39.00,16.88,1.43,14.17,19.12,0.00,0.00,-,2.21,1.00,0.70,-,-,-,-,-,-,-,-
43467,5641,0,14.1176,48.4942,77.00,39.00,-23.62,0.81,13.97,19.12,0.00,0.00,-,1.62,0.84,0.88,-,-,-,-,-,-,-,-
43835,4762,0,14.1176,59.4944,71.00,39.00,-18.38,0.92,14.17,19.12,0.00,0.00,-,1.44,0.62,0.27,-,-,-,-,-,-,-,-
44187,4011,0,14.1176,63.0127,73.00,39.00,-23.62,0.84,14.17,21.00,0.00,0.00,-,2.24,0.55,0.47,-,-,-,-,-,-,-,-
44554,5382,0,34.5098,334.733,73.00,39.00,29.62,5.17,14.17,24.00,0.00,0.00,-,2.44,1.46,1.00,-,-,-,-,-,-,-,-
44906,5339,0,13.7255,52.7967,78.00,39.00,-23.62,0.87,13.97,34.50,0.00,0.00,-,1.80,0.72,0.49,-,-,-,-,-,-,-,-
45274,4509,0,13.7255,51.4403,83.00,39.00,-23.62,0.85,13.97,43.12,0.00,0.00,-,1.68,0.20,0.33,-,-,-,-,-,-,-,-
45626,3789,0,13.7255,55.7217,83.00,39.00,-23.62,0.82,14.27,30.00,0.00,0.00,-,1.27,0.31,0.16,-,-,-,-,-,-,-,-
45994,3243,0,37.6471,194.019,87.00,39.00,13.12,2.59,13.97,21.00,0.00,0.00,-,3.42,0.80,0.55,-,-,-,-,-,-,-,-
46346,5036,0,13.7255,93.2156,92.00,38.00,21.75,1.57,13.87,25.88,0.00,0.00,-,1.70,0.76,0.29,-,-,-,-,-,-,-,-
46713,4496,0,13.7255,49.4267,97.00,38.00,-23.62,0.84,14.17,37.12,0.00,0.00,-,1.66,0.35,0.18,-,-,-,-,-,-,-,-
47065,3753,0,13.7255,54.7679,97.00,38.00,-23.62,0.83,14.27,37.50,0.00,0.00,-,1.39,0.31,0.16,-,-,-,-,-,-,-,-
47433,3140,0,13.7255,41.1395,100.00,38.00,4.88,0.75,14.17,28.12,0.00,0.00,-,1.13,0.23,0.27,-,-,-,-,-,-,-,-
47785,2706,0,13.7255,38.9988,103.00,38.00,9.00,0.77,13.97,20.25,0.00,0.00,-,0.98,0.16,0.06,-,-,-,-,-,-,-,-
48153,2366,0,13.7255,48.1338,103.00,38.00,7.12,0.78,14.27,21.00,0.00,0.00,-,0.86,0.20,0.08,-,-,-,-,-,-,-,-
48504,2014,0,13.7255,46.2051,107.00,38.00,3.38,0.79,14.27,19.12,0.00,0.00,-,0.94,0.35,0.21,-,-,-,-,-,-,-,-
48872,1685,0,13.7255,53.581,109.00,38.00,0.38,0.85,14.27,20.62,0.00,0.00,-,0.74,0.20,0.14,-,-,-,-,-,-,-,-
