Time(ms),Engine RPM(1/min),Vehicle speed(km/h),Throttle(%),Engine load(mg/stk),Intake air temperature(V),Engine coolant temperature(V),Ignition(Deg),Injection(ms),Battery(V),Vanos angle(Deg),Lambda integrator 1(),Lambda integrator 2(),TPS(V),MAF(V),Knock 1(V),Knock 2(V),Additive correction 1(ms),Additive correction 2(ms),Multiplicative correction 1(ms),Multiplicative correction 2(ms),Idle load(),Part load(),Full load(),Vanos advanced()
0,1689,0,13.7255,77.2982,137.00,38.00,2.62,1.25,14.17,20.62,0.00,0.00,-,1.07,0.39,0.25,-,-,-,-,-,-,-,-
320,1668,0,13.7255,73.2711,137.00,38.00,2.25,1.19,14.17,19.50,0.00,0.00,-,1.05,0.37,0.14,-,-,-,-,-,-,-,-
640,1667,0,13.7255,76.6411,137.00,38.00,2.25,1.21,13.87,19.50,0.00,0.00,-,1.03,0.76,0.14,-,-,-,-,-,-,-,-
960,1640,0,13.7255,77.9128,137.00,38.00,1.88,1.19,14.27,20.25,0.00,0.00,-,1.05,0.31,0.21,-,-,-,-,-,-,-,-
1280,1641,0,13.7255,76.1748,137.00,38.00,2.25,1.24,14.27,19.12,0.00,0.00,-,1.05,0.37,0.20,-,-,-,-,-,-,-,-
1599,1621,0,13.7255,78.8242,137.00,38.00,1.88,1.18,14.17,20.62,0.00,0.00,-,0.94,0.39,0.16,-,-,-,-,-,-,-,-
1920,1611,0,13.7255,75.0091,138.00,38.00,1.50,1.14,14.27,20.62,0.00,0.00,-,1.00,0.23,0.25,-,-,-,-,-,-,-,-
2239,1591,0,13.7255,72.4445,138.00,38.00,0.75,1.11,14.27,19.50,0.00,0.00,-,0.98,0.49,0.23,-,-,-,-,-,-,-,-
2559,1584,0,13.7255,73.6526,138.00,38.00,0.75,1.10,14.27,19.50,0.00,0.00,-,0.98,0.35,0.16,-,-,-,-,-,-,-,-
2879,1562,0,13.7255,72.0206,138.00,38.00,0.38,1.10,14.27,20.62,0.00,0.00,-,0.94,0.35,0.25,-,-,-,-,-,-,-,-
3198,1550,0,13.7255,72.5717,138.00,38.00,0.75,1.10,14.27,20.62,0.00,0.00,-,0.96,0.27,0.14,-,-,-,-,-,-,-,-
3518,1538,0,14.5098,74.9455,138.00,38.00,0.75,1.10,14.27,20.62,0.00,0.00,-,1.19,0.25,0.21,-,-,-,-,-,-,-,-
3838,1539,0,18.4314,120.939,138.00,38.00,13.88,1.60,14.27,20.62,0.00,0.00,-,1.35,0.29,0.18,-,-,-,-,-,-,-,-
4162,1561,0,19.2157,116.551,138.00,38.00,24.75,1.66,14.27,19.50,0.00,0.00,-,1.39,0.25,0.23,-,-,-,-,-,-,-,-
4478,1537,0,19.2157,127.424,138.00,38.00,25.12,1.71,13.76,19.50,0.00,0.00,-,1.42,0.53,0.21,-,-,-,-,-,-,-,-
4798,1573,0,19.2157,121.85,138.00,38.00,25.12,1.74,13.87,19.12,0.00,0.00,-,1.39,0.37,0.21,-,-,-,-,-,-,-,-
5118,1564,0,19.2157,125.22,138.00,38.00,25.50,1.76,13.87,20.25,0.00,0.00,-,1.39,0.55,0.16,-,-,-,-,-,-,-,-
5451,1588,0,19.2157,123.334,138.00,38.00,25.12,1.77,14.27,20.62,0.00,0.00,-,1.41,0.51,0.18,-,-,-,-,-,-,-,-
